bead_id,captured_at_utc,exit_code,outcome,duration_ms,model,agent,trace_events,trace_bytes,dir_bytes,timeout_reason,pruned,stderr_oom,stderr_signal
domchk-11873bed,2026-09-02T10:32:19.527720779Z,0,success,774195,glm-4.7,claude-code-glm-4.7,59,30628,4232633,,False,,
domchk-11a66c38,2026-09-06T14:00:54.848630481Z,0,success,351746,glm-5.3-flash,claude-code-glm-5.3-flash,8,2498,493432,,False,,
domchk-11abf89e,2026-09-02T10:23:17.961920606Z,0,success,499042,glm-4.7,claude-code-glm-4.7,53,22603,2805174,,False,,
domchk-11c26b24,2026-09-06T10:06:17.800941299Z,0,success,2045714,glm-5.3-flash,claude-code-glm-5.3-flash,51,26802,4721139,,False,,
domchk-11c6541e,2026-09-02T05:27:18.202808658Z,0,success,310052,glm-4.7,claude-code-glm-4.7,65,39977,2694513,,False,,
domchk-11ec9425,2026-09-06T21:08:24.101457922Z,0,success,622315,glm-5.3-flash,claude-code-glm-5.3-flash,90,38897,4956138,,False,,
domchk-11f6b509,2026-09-01T17:04:47.013012245Z,0,success,244077,glm-4.7,claude-code-glm-4.7,16,5884,478337,,False,,
domchk-1226baec,2026-09-02T02:24:15.190400004Z,0,success,646650,glm-4.7,claude-code-glm-4.7,85,37269,2464438,,False,,
domchk-127bb100,2026-09-01T16:47:54.756971578Z,0,success,444576,glm-4.7,claude-code-glm-4.7,18,5013,630268,,False,,
domchk-12b32ae9,2026-09-02T02:04:00.473536410Z,0,success,301445,glm-4.7,claude-code-glm-4.7,40,16242,1194972,,False,,
domchk-12c3e073,2026-09-07T03:18:00.935778456Z,0,success,1335010,glm-5.3-flash,claude-code-glm-5.3-flash,62,34688,6839038,,False,,
domchk-1345af8d,2026-09-01T15:29:41.723293832Z,0,success,215048,glm-4.7,claude-code-glm-4.7,20,8149,1066835,,False,,
domchk-1348b0d0,2026-09-02T08:46:08.555020958Z,0,success,2012766,glm-4.7,claude-code-glm-4.7,71,74475,5168556,,False,,
domchk-135a9a65,2026-09-01T15:36:20.796357901Z,0,success,86994,glm-4.7,claude-code-glm-4.7,13,5330,567134,,False,,
domchk-143387a1,2026-09-02T07:40:45.822481191Z,0,success,225785,glm-4.7,claude-code-glm-4.7,44,31053,2611129,,False,,
domchk-144821a9,2026-09-06T07:57:31.936578355Z,0,success,591022,glm-5.3-flash,claude-code-glm-5.3-flash,23,12547,1425489,,False,,
domchk-14bc9b5d,2026-09-02T06:59:22.824187975Z,0,success,422874,glm-4.7,claude-code-glm-4.7,29,16198,2423987,,False,,
domchk-1534f0bc,2026-09-07T13:37:44.588639042Z,0,success,644050,glm-5.3-flash,claude-code-glm-5.3-flash,54,34268,6943316,,False,,
domchk-15516836,2026-09-02T15:12:05.196236559Z,1,failure,2130351,glm-4.7,claude-code-glm-4.7,119,68791,9990436,,False,,
domchk-15c6c522,,,NO_METADATA,,,,0,0,0,,,,
domchk-15d7b949,2026-09-02T00:49:23.609594249Z,0,success,500387,glm-4.7,claude-code-glm-4.7,60,25468,2496899,,False,,
domchk-1606d093,2026-09-02T02:15:36.557189877Z,0,success,310940,glm-4.7,claude-code-glm-4.7,29,15608,1534505,,False,,
domchk-1625c1c1,2026-09-02T09:15:59.028550006Z,0,success,371689,glm-4.7,claude-code-glm-4.7,23,25995,2278435,,False,,
domchk-162e4305,2026-08-25T15:51:13.014555440Z,0,success,78924,glm-4.7,claude-code-glm-4.7,29,10512,1147974,,False,,
domchk-16a3985d,2026-09-01T22:38:53.714828603Z,0,success,348329,glm-4.7,claude-code-glm-4.7,33,9943,765079,,False,,
domchk-175de715,2026-09-01T22:09:25.695888783Z,0,success,534107,glm-4.7,claude-code-glm-4.7,47,18574,1884486,,False,,
domchk-1766a540,2026-09-01T15:34:48.486342518Z,0,success,218968,glm-4.7,claude-code-glm-4.7,13,5111,964680,,False,,
domchk-1796c0e1,2026-09-02T08:53:30.854513005Z,0,success,414008,glm-4.7,claude-code-glm-4.7,13,6409,1297497,,False,,
domchk-17ca8b7d,2026-09-02T18:55:14.155635320Z,0,success,2877532,glm-4.7,claude-code-glm-4.7,101,61181,12112170,,False,,
domchk-17cfe9a6,2026-09-01T15:58:58.062010110Z,0,success,402493,glm-4.7,claude-code-glm-4.7,19,8748,1161630,,False,,
domchk-17ec61ff,2026-09-01T14:41:08.081356613Z,0,success,388493,glm-4.7,claude-code-glm-4.7,59,22032,3001431,,False,,
domchk-18149fbd,2026-09-02T18:33:56.519118850Z,0,success,2023929,glm-4.7,claude-code-glm-4.7,48,19182,3356365,,False,,
domchk-18330904,2026-09-07T01:00:48.148515315Z,0,success,540406,glm-5.3-flash,claude-code-glm-5.3-flash,24,10942,1238338,,False,,
domchk-1835a393,2026-09-07T08:32:24.034737368Z,0,success,13836,glm-5.3-flash,claude-code-glm-5.3-flash,1,122,161225,,False,,
domchk-183eb4f8,2026-09-02T02:09:22.383458950Z,0,success,701930,glm-4.7,claude-code-glm-4.7,128,76580,4038384,,False,,
domchk-185fecb9,2026-09-02T05:42:46.573366783Z,0,success,516293,glm-4.7,claude-code-glm-4.7,38,27397,2166934,,False,,
domchk-1889e6aa,2026-09-01T17:53:54.858294869Z,0,success,392325,glm-4.7,claude-code-glm-4.7,31,13600,1253169,,False,,
domchk-18afe3ea,2026-09-01T18:48:29.986885739Z,0,success,505806,glm-4.7,claude-code-glm-4.7,35,25061,2463755,,False,,
domchk-18cd9f67,2026-09-01T22:00:27.282108144Z,0,success,455961,glm-4.7,claude-code-glm-4.7,51,36140,3429077,,False,,
domchk-1933c793,2026-09-01T18:37:39.444968283Z,0,success,592138,glm-4.7,claude-code-glm-4.7,31,13902,1516838,,False,,
domchk-194f2b50,2026-09-01T15:47:10.318727579Z,0,success,350890,glm-4.7,claude-code-glm-4.7,32,13601,1721648,,False,,
domchk-1965a07a,2026-09-02T03:33:37.502322876Z,0,success,727835,glm-4.7,claude-code-glm-4.7,93,39682,2310092,,False,,
domchk-199aa186,2026-09-02T06:50:35.268487966Z,0,success,257153,glm-4.7,claude-code-glm-4.7,30,43150,3222218,,False,,
domchk-19a78c54,2026-09-02T09:06:21.378919577Z,0,success,448375,glm-4.7,claude-code-glm-4.7,28,30090,2668179,,False,,
domchk-19c2f72d,2026-09-02T09:06:14.301736246Z,0,success,739162,glm-4.7,claude-code-glm-4.7,38,15284,3015620,,False,,
domchk-19cf754f,2026-09-01T16:32:34.454767325Z,0,success,240146,glm-4.7,claude-code-glm-4.7,34,14477,1513475,,False,,
domchk-19d4771a,2026-09-01T16:26:37.216017067Z,0,success,351423,glm-4.7,claude-code-glm-4.7,31,12755,1429293,,False,,
domchk-19de0580,2026-09-02T02:32:03.450748817Z,0,success,294198,glm-4.7,claude-code-glm-4.7,0,0,1126357,,False,,
domchk-1a303322,2026-09-02T09:47:59.175451319Z,1,failure,576620,glm-4.7,claude-code-glm-4.7,26,10735,1432259,,False,,
domchk-1a67ede7,2026-09-02T03:00:42.538848019Z,0,success,994383,glm-4.7,claude-code-glm-4.7,53,18042,1645183,,False,,
domchk-1aa2db67,2026-08-25T15:24:14.872823760Z,0,success,111533,glm-4.7,claude-code-glm-4.7,40,19251,1431890,,False,,
domchk-1ab0aea8,2026-09-01T16:15:39.903698643Z,0,success,233778,glm-4.7,claude-code-glm-4.7,25,12316,1118495,,False,,
domchk-1ab3fab8,2026-09-01T21:44:57.264581628Z,1,failure,296533,glm-4.7,claude-code-glm-4.7,14,3123,360530,,False,,
domchk-1b341d01,2026-09-02T07:42:21.324716661Z,0,success,97799,glm-4.7,claude-code-glm-4.7,17,9997,1085854,,False,,
domchk-1b45655e,2026-09-02T03:57:46.078170019Z,0,success,358689,glm-4.7,claude-code-glm-4.7,50,18013,1182285,,False,,
domchk-1b75e25b,2026-09-02T21:39:01.966953128Z,1,failure,180046,glm-4.7,claude-code-glm-4.7,2,419,9330,,False,,
domchk-1b9940a3,2026-09-02T10:20:11.902947141Z,0,success,291912,glm-4.7,claude-code-glm-4.7,47,19221,2162701,,False,,
domchk-1c03aacb,2026-09-06T23:34:48.285641452Z,0,success,1212101,glm-5.3-flash,claude-code-glm-5.3-flash,63,37677,4761771,,False,,
domchk-1c67a452,2026-09-01T16:48:33.747361763Z,0,success,740526,glm-4.7,claude-code-glm-4.7,49,19305,1813604,,False,,
domchk-1c7b9e68,2026-09-01T22:42:50.950412861Z,1,failure,571483,glm-4.7,claude-code-glm-4.7,30,10619,1219610,,False,,
domchk-1c8e7c0a,2026-09-02T00:36:29.735272357Z,0,success,709924,glm-4.7,claude-code-glm-4.7,85,27573,1870352,,False,,
domchk-1d034505,2026-08-25T15:10:50.255905454Z,0,success,61936,glm-4.7,claude-code-glm-4.7,23,9020,733541,,False,,
domchk-1d054ef3,2026-09-01T14:56:43.972977039Z,0,success,355291,glm-4.7,claude-code-glm-4.7,49,24806,2942331,,False,,
domchk-1d19cfbf,2026-09-02T21:28:40.070114995Z,1,failure,192665,glm-4.7,claude-code-glm-4.7,2,418,9329,,False,,
domchk-1d4e6b67,2026-09-02T06:41:34.114518988Z,0,success,685883,glm-4.7,claude-code-glm-4.7,45,37551,3656701,,False,,
domchk-1d53a87e,2026-09-02T21:30:46.962789690Z,1,failure,177625,glm-4.7,claude-code-glm-4.7,2,418,9329,,False,,
domchk-1d72c097,2026-09-02T02:08:54.259377893Z,0,success,432678,glm-4.7,claude-code-glm-4.7,28,26282,2393235,,False,,
domchk-1d947f1e,2026-09-02T11:48:42.241931016Z,0,success,790239,glm-4.7,claude-code-glm-4.7,64,49718,6248550,,False,,
domchk-1e11ee3b,2026-09-02T04:13:53.521899958Z,0,success,242854,glm-4.7,claude-code-glm-4.7,35,15159,1362098,,False,,
domchk-1e2480c8,2026-09-01T21:49:29.685530970Z,0,success,272556,glm-4.7,claude-code-glm-4.7,18,4442,403061,,False,,
domchk-1e5f2593,2026-09-01T19:41:24.255049865Z,0,success,302021,glm-4.7,claude-code-glm-4.7,20,14135,1183800,,False,,
domchk-1eb32503,2026-09-06T13:08:00.899793223Z,0,success,274947,glm-5.3-flash,claude-code-glm-5.3-flash,34,14148,2391686,,False,,
domchk-1ec90d5e,2026-09-07T16:12:07.806289028Z,1,failure,1627333,glm-5.3-flash,claude-code-glm-5.3-flash,106,58611,11811943,,False,,
domchk-1ef50af7,2026-09-02T06:56:25.045785942Z,0,success,576144,glm-4.7,claude-code-glm-4.7,56,24207,2473277,,False,,
domchk-1f6f5bdc,2026-09-02T07:28:02.472606630Z,0,success,152166,glm-4.7,claude-code-glm-4.7,19,22767,1828097,,False,,
domchk-1fb4ad35,2026-09-06T22:53:36.400413215Z,0,success,1563723,glm-5.3-flash,claude-code-glm-5.3-flash,103,58835,10694749,,False,,
domchk-2034ca07,2026-09-02T00:22:28.490967438Z,0,success,79755,glm-4.7,claude-code-glm-4.7,9,2673,279811,,False,,
domchk-2037ffe4,2026-09-02T03:17:29.648466293Z,0,success,502506,glm-4.7,claude-code-glm-4.7,45,57261,3855000,,False,,
domchk-204d3606,2026-09-07T04:07:07.919185390Z,0,success,1156715,glm-5.3-flash,claude-code-glm-5.3-flash,45,24741,5477574,,False,,
domchk-209ef427,2026-09-02T03:53:30.135242909Z,0,success,773465,glm-4.7,claude-code-glm-4.7,16,8130,1341430,,False,,
domchk-20d15aed,2026-09-01T15:59:26.040673045Z,0,success,514760,glm-4.7,claude-code-glm-4.7,49,16742,1942847,,False,,
domchk-20dc36b4,2026-09-01T23:14:58.436478069Z,1,failure,561652,glm-4.7,claude-code-glm-4.7,38,30603,1994724,,False,,
domchk-20ef1b30,2026-09-02T02:51:01.782818038Z,0,success,676351,glm-4.7,claude-code-glm-4.7,47,29545,2387898,,False,,
